urn:cite:croala:latmorph.morph.124.1,n-s---mgs,"adiectivum, singularis, masculinum, genitivus, superlativus"
urn:cite:croala:latmorph.morph.125.1,n-s---mnc,"adiectivum, singularis, masculinum, nominativus, comparativus"
urn:cite:croala:latmorph.morph.126.1,n-s---mnp,"adiectivum, singularis, masculinum, nominativus, positivus"
urn:cite:croala:latmorph.morph.127.1,n-s---mns,"adiectivum, singularis, masculinum, nominativus, superlativus"
urn:cite:croala:latmorph.morph.128.1,n-s---mvc,"adiectivum, singularis, masculinum, vocativus, comparativus"
urn:cite:croala:latmorph.morph.129.1,n-s---mvp,"adiectivum, singularis, masculinum, vocativus, positivus"
urn:cite:croala:latmorph.morph.130.1,n-s---mvs,"adiectivum, singularis, masculinum, vocativus, superlativus"
urn:cite:croala:latmorph.morph.131.1,n-s---nac,"adiectivum, singularis, neutrum, accusativus, comparativus"
urn:cite:croala:latmorph.morph.132.1,n-s---nap,"adiectivum, singularis, neutrum, accusativus, positivus"
urn:cite:croala:latmorph.morph.133.1,n-s---nas,"adiectivum, singularis, neutrum, accusativus, superlativus"
urn:cite:croala:latmorph.morph.134.1,n-s---nbc,"adiectivum, singularis, neutrum, ablativus, comparativus"
urn:cite:croala:latmorph.morph.135.1,n-s---nbp,"adiectivum, singularis, neutrum, ablativus, positivus"
urn:cite:croala:latmorph.morph.136.1,n-s---nbs,"adiectivum, singularis, neutrum, ablativus, superlativus"
urn:cite:croala:latmorph.morph.137.1,n-s---ngc,"adiectivum, singularis, neutrum, genitivus, comparativus"
urn:cite:croala:latmorph.morph.138.1,n-s---ngp,"adiectivum, singularis, neutrum, genitivus, positivus"
urn:cite:croala:latmorph.morph.139.1,n-s---ngs,"adiectivum, singularis, neutrum, genitivus, superlativus"
urn:cite:croala:latmorph.morph.140.1,n-s---ndc,"adiectivum, singularis, neutrum, dativus, comparativus"
urn:cite:croala:latmorph.morph.141.1,n-s---ndp,"adiectivum, singularis, neutrum, dativus, positivus"
urn:cite:croala:latmorph.morph.142.1,n-s---nds,"adiectivum, singularis, neutrum, dativus, superlativus"
urn:cite:croala:latmorph.morph.143.1,n-s---nnc,"adiectivum, singularis, neutrum, nominativus, comparativus"
urn:cite:croala:latmorph.morph.144.1,n-s---nnp,"adiectivum, singularis, neutrum, nominativus, positivus"
urn:cite:croala:latmorph.morph.145.1,n-s---nns,"adiectivum, singularis, neutrum, nominativus, superlativus"
urn:cite:croala:latmorph.morph.146.1,n-s---nvc,"adiectivum, singularis, neutrum, vocativus, comparativus"
urn:cite:croala:latmorph.morph.147.1,n-s---nvp,"adiectivum, singularis, neutrum, vocativus, positivus"
urn:cite:croala:latmorph.morph.148.1,n-s---nvs,"adiectivum, singularis, neutrum, vocativus, superlativus"
urn:cite:croala:latmorph.morph.149.1,c--------,"coniunctio"
urn:cite:croala:latmorph.morph.150.1,r--------,"praepositio"
urn:cite:croala:latmorph.morph.151.1,m--------,"numerus"
urn:cite:croala:latmorph.morph.152.1,p-p---fa-,"pronomen, pluralis, femininum, accusativus"
urn:cite:croala:latmorph.morph.153.1,p-p---fb-,"pronomen, pluralis, femininum, ablativus"
urn:cite:croala:latmorph.morph.154.1,p-p---fd-,"pronomen, pluralis, femininum, dativus"
urn:cite:croala:latmorph.morph.155.1,p-p---fg-,"pronomen, pluralis, femininum, genitivus"
urn:cite:croala:latmorph.morph.156.1,p-p---fn-,"pronomen, pluralis, femininum, nominativus"
urn:cite:croala:latmorph.morph.157.1,p-p---fv-,"pronomen, pluralis, femininum, vocativus"
urn:cite:croala:latmorph.morph.158.1,p-p---ma-,"pronomen, pluralis, masculinum, accusativus"
urn:cite:croala:latmorph.morph.159.1,p-p---mb-,"pronomen, pluralis, masculinum, ablativus"
urn:cite:croala:latmorph.morph.160.1,p-p---md-,"pronomen, pluralis, masculinum, dativus"
urn:cite:croala:latmorph.morph.161.1,p-p---mg-,"pronomen, pluralis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.162.1,p-p---mn-,"pronomen, pluralis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.163.1,p-p---na-,"pronomen, pluralis, neutrum, accusativus"
urn:cite:croala:latmorph.morph.164.1,p-p---nb-,"pronomen, pluralis, neutrum, ablativus"
urn:cite:croala:latmorph.morph.165.1,p-p---nd-,"pronomen, pluralis, neutrum, dativus"
urn:cite:croala:latmorph.morph.166.1,p-p---ng-,"pronomen, pluralis, neutrum, genitivus"
urn:cite:croala:latmorph.morph.167.1,p-p---nn-,"pronomen, pluralis, neutrum, nominativus"
urn:cite:croala:latmorph.morph.168.1,p-s---fa-,"pronomen, singularis, femininum, accusativus"
urn:cite:croala:latmorph.morph.169.1,p-s---fb-,"pronomen, singularis, femininum, ablativus"
urn:cite:croala:latmorph.morph.170.1,p-s---fd-,"pronomen, singularis, femininum, dativus"
urn:cite:croala:latmorph.morph.171.1,p-s---fg-,"pronomen, singularis, femininum, genitivus"
urn:cite:croala:latmorph.morph.172.1,p-s---fn-,"pronomen, singularis, femininum, nominativus"
urn:cite:croala:latmorph.morph.173.1,p-s---fv-,"pronomen, singularis, femininum, vocativus"
urn:cite:croala:latmorph.morph.174.1,p-s---ma-,"pronomen, singularis, masculinum, accusativus"
urn:cite:croala:latmorph.morph.175.1,p-s---mb-,"pronomen, singularis, masculinum, ablativus"
urn:cite:croala:latmorph.morph.176.1,p-s---md-,"pronomen, singularis, masculinum, dativus"
urn:cite:croala:latmorph.morph.177.1,p-s---mg-,"pronomen, singularis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.178.1,p-s---mn-,"pronomen, singularis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.179.1,p-s---mv-,"pronomen, singularis, masculinum, vocativus"
urn:cite:croala:latmorph.morph.180.1,p-s---na-,"pronomen, singularis, neutrum, accusativus"
urn:cite:croala:latmorph.morph.181.1,p-s---nb-,"pronomen, singularis, neutrum, ablativus"
urn:cite:croala:latmorph.morph.182.1,p-s---nd-,"pronomen, singularis, neutrum, dativus"
urn:cite:croala:latmorph.morph.183.1,p-s---ng-,"pronomen, singularis, neutrum, genitivus"
urn:cite:croala:latmorph.morph.184.1,p-s---nn-,"pronomen, singularis, neutrum, nominativus"
urn:cite:croala:latmorph.morph.4754712.1,v-sppamn-,"participium, praesens, singularis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.4754716.1,v-sppdmn-,"participium, deponens, praesens, singularis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.4754720.1,v-sppamg-,"participium, praesens, singularis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.4754724.1,v-sppdmg-,"participium, deponens, praesens, singularis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.4754728.1,v-sppamd-,"participium, deponens, praesens, singularis, masculinum, dativus"
urn:cite:croala:latmorph.morph.4754732.1,v-sppdmd-,"participium, deponens, praesens, singularis, masculinum, dativus"
urn:cite:croala:latmorph.morph.4754736.1,v-sppama-,"participium, praesens, singularis, masculinum, accusativus"
urn:cite:croala:latmorph.morph.4754740.1,v-sppdma-,"participium, deponens, praesens, singularis, masculinum, accusativus"
urn:cite:croala:latmorph.morph.4754744.1,v-sppamv-,"participium, praesens, singularis, masculinum, vocativus"
urn:cite:croala:latmorph.morph.4754748.1,v-sppdmv-,"participium, deponens, praesens, singularis, masculinum, vocativus"
