estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Graecia,Et redimet uultus Graecia tota suos .,Graecia,urn:cite:perseus:latlexent.lex3522.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l48.w4,17193.0,,,,,,,,,,,,,,,,,
estlocus1,Epidaurus,Nec mea pendendis Epidaurus moesta tributis,Epidaurus,urn:cite:perseus:latlexent.lex3023.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l49.w4,17225.0,,,,,,,,,,,,,,,,,
estlocus2,Eoae,"Vrbis et Eoae lacerata potentia surget ,",Eous,urn:cite:perseus:latlexent.lex3005.1,urn:cite:croala:latmorph.morph.105.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l53.w3,17337.0,,,,,,,,,,,,,,,,,
estlocus1,Asia,"Aequalesque dabunt Asia atque Europa triumphos ,",Asia,urn:cite:croala:latlexent.lex38242.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l57.w3,17457.0,,,,,,,,,,,,,,,,,
estlocus1,Europa,"Aequalesque dabunt Asia atque Europa triumphos ,",Europa,urn:cite:croala:latlexent.lex26446.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l57.w5,17465.0,,,,,,,,,,,,,,,,,
estlocus3,Assyriosque,"Assyriosque ultra tendes , Garabacthra , uel Indos ,",Assyrii,urn:cite:croala:latlexent.lex50015.1,urn:cite:croala:latmorph.morph.27.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l65.w1,17697.0,,,,,,,,,,,,,,,,,
estlocus3,Indos,"Assyriosque ultra tendes , Garabacthra , uel Indos ,",Indi,urn:cite:perseus:latlexent.lex4031.1,urn:cite:croala:latmorph.morph.27.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l65.w6,17725.0,,,,,,,,,,,,,,,,,
estlocus1,Francia,"Per maria et terras Francia uecta suas ,",Francia,urn:cite:croala:latlexent.lex50014.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l72.w5,17948.0,,,,,,,,,,,,,,,,,
estlocus1,Idume,"Victricemque piam palmis ornabit Idume ,",Idume,urn:cite:croala:latlexent.lex50018.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l73.w5,17984.0,,,,,,,,,,,,,,,,,
estlocus1,Canopo,"Nec ueneranda fero regnabitur ora Canopo ,",Canopus,urn:cite:perseus:latlexent.lex1738.1,urn:cite:croala:latmorph.morph.9.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l79.w6,18152.0,,,,,,,,,,,,,,,,,
estlocus1,Francia,Francia ; coniurant terra polusque simul .,Francia,urn:cite:croala:latlexent.lex50014.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l8.w1,15822.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanis,"Iordanis , loto mystica lympha Deo .",Jordanis,urn:cite:croala:latlexent.lex50023.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l84.w1,18272.0,,,,,,,,,,,,,,,,,
