estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Arethusa,"Candida siccabat madidos Arethusa capillos ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l124.w4,973370.0,,,,,,,,,,,,,,,,,
estlocus1,Asiam,"Iudicat atque Asiam magnam , peccataque Minos",Asia,urn:cite:croala:latlexent.lex38242.1,urn:cite:croala:latmorph.morph.1.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l47.w3,994222.0,,,,,,,,,,,,,,,,,
estlocus1,Assyrios,Ac uelut Assyrios saltus aut Syrtica linquens,Assyrius,urn:cite:croala:latlexent.lex50061.1,urn:cite:croala:latmorph.morph.62.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l259.w3,1001646.0,,,,,,,,,,,,,,,,,
estlocus1,Athos,"Quantus Olympus , Athos quantus , uel nubifer Atlas",Athos,urn:cite:perseus:latlexent.lex1027.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l194.w3,999297.0,,,,,,,,,,,,,,,,,
estlocus4,Atlas,"Quantus Olympus , Athos quantus , uel nubifer Atlas",Atlas,urn:cite:perseus:latlexent.lex1037.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l194.w7,999317.0,,,,,,,,,,,,,,,,,
estlocus4,Atlas,"Atlas obstupuit , te tela trisulca ferentem",Atlas,urn:cite:perseus:latlexent.lex1037.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l342.w1,1004361.0,,,,,,,,,,,,,,,,,
estlocus1,Auentinum,"Acer Auentinum , tu templa Lacinia condis .",Aventinus,urn:cite:perseus:latlexent.lex1137.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l340.w2,1004299.0,,,,,,,,,,,,,,,,,
estlocus1,Auerni,Principio ad fauces tetri stabulantur Auerni,Avernus,urn:cite:perseus:latlexent.lex1139.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l33.w6,969936.0,,,,,,,,,,,,,,,,,
estlocus1,Auerni,Nunc igitur ne fama prior neu clarus Auerni,Avernus,urn:cite:perseus:latlexent.lex1139.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l245.w8,989249.0,,,,,,,,,,,,,,,,,
estlocus1,Auerni,Et sonitu tetri domus atra resultat Auerni .,Avernus,urn:cite:perseus:latlexent.lex1139.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l244.w7,1001163.0,,,,,,,,,,,,,,,,,
estlocus1,Auerni,"Victor adit spoliis et munere laetus Auerni ,",Avernus,urn:cite:perseus:latlexent.lex1139.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l273.w7,1002128.0,,,,,,,,,,,,,,,,,
estlocus1,Auernum,"Subiecit uictrixque ferum spoliauit Auernum ,",Avernus,urn:cite:perseus:latlexent.lex1139.1,urn:cite:croala:latmorph.morph.8.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l289.w5,1002668.0,,,,,,,,,,,,,,,,,
estlocus1,Auernus,"Iam pridem cupio , nec me crassator Auernus",Avernus,urn:cite:perseus:latlexent.lex1139.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l298.w7,991102.0,,,,,,,,,,,,,,,,,
estlocus4,Berecynthia,Alma quibus uehitur diuum Berecynthia mater .,Berecynthius,urn:cite:croala:latlexent.lex50069.1,urn:cite:croala:latmorph.morph.108.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l289.w5,979692.0,,,,,,,,,,,,,,,,,
estlocus1,Bistonio,"Te quoque Bistonio qui quadrupedante superbis ,",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l185.w3,998980.0,,,,,,,,,,,,,,,,,
estlocus1,Calabro,Hic Ephyrea ratis Calabro resoluta Tarento,Calaber,urn:cite:croala:latlexent.lex50065.1,urn:cite:croala:latmorph.morph.135.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l308.w4,1003291.0,,,,,,,,,,,,,,,,,
estlocus1,Calpen,"Limina , in Hispanam Calpen qua surgit Abyla",Calpe,urn:cite:perseus:latlexent.lex1686.1,urn:cite:croala:latmorph.morph.1.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w4,974727.0,,,,,,,,,,,,,,,,,
