estLocus,Nomen,Textus,LEMMA,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE
estlocus4,Erebum,Erebum,Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l287.app.rdg1.w,979603
estlocus4,Orcum,Orcum,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l287.app.rdg2.w,979612
estlocus4,Berecynthia,Alma quibus uehitur diuum Berecynthia mater .,Berecynthius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l289.w5,979692
estlocus1,Arcas,"Et celer annexis uenerat aderat talaribus Arcas ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l292.w5,979863
estlocus1,Elysium,"Qua regit Elysium , qua Tartara quaque sub imo uoraci",Elysium,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l295.w3,979942
estlocus1,Tartara,"Qua regit Elysium , qua Tartara quaque sub imo uoraci",Tartarus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l295.w5,979954
estlocus1,Phlegetonte,Fas Phlegetonte tenet placidoque in flumine Laethes,Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l296.w2,979997
estlocus1,Laethes,Fas Phlegetonte tenet placidoque in flumine Laethes,Laethe,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l296.w7,980017
estlocus1,Arcas,"Elicit hinc manes , hic suffocat suprimit impius Arcas .",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l297.w6,980076
estlocus1,Olympi,"Exortusque petunt alii bipatentis Olympi ,",Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l314.w5,980635
estlocus1,RACVSAEI,IACOBI BONI RACVSAEI CHRISTI SVB FIGVRA HERCVLIS PRAELVDIVM LEONI X PONT. MAX. DICATVM LIBER SECVNDVS : THALIA,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.head.w3,980829
estlocus1,Eoo,""" Postera ab Eoo roseis inuecta quadrigis",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l1.w3,980902
estlocus1,Solque,Solque recedentes radiis dispescuit umbras,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l3.w1,980960
