estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Appeninus,"Transmittitque tuos glaciem Appeninus in usus ,",Apenninus,45316.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l113.w4,76192.0,,,,,,,,,,,,,,,,,
estlocus1,Adria,Lasciuire suis Adria gaudet aquis .,Adria,35575.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l116.w3,76292.0,,,,,,,,,,,,,,,,,
estlocus4,Boreas,"Haec loca foecundat Boreas , sed collis et Auster",boreas,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l33.w4,73677.0,,,,,,,,,,,,,,,,,
estlocus4,Auster,"Haec loca foecundat Boreas , sed collis et Auster",auster,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l33.w8,73697.0,,,,,,,,,,,,,,,,,
estlocus1,Auerna,"Noxia pestiferum uirus Auerna uomunt ,",Averna,50614.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l52.w4,74314.0,,,,,,,,,,,,,,,,,
estlocus1,Europam,"Europam atque Asiam iactitet ille licet ,",Europa,26446.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l18.w1,89065.0,,,,,,,,,,,,,,,,,
estlocus1,Asiam,"Europam atque Asiam iactitet ille licet ,",Asia,38242.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l18.w3,89073.0,,,,,,,,,,,,,,,,,
estlocus1,Germania,"Nam , uelut inuictis tribuit Germania Drusis ,",Germania,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l5.w5,88630.0,,,,,,,,,,,,,,,,,
estlocus2,Dacica,"Victori aut nomen Dacica terra suo ,",Dacicus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l6.w4,88658.0,,,,,,,,,,,,,,,,,
estlocus3,Affrica,"Aut sua Scipiadae dedit Affrica , Creta Metello ,",Africa,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l7.w5,88694.0,,,,,,,,,,,,,,,,,
