estLocus,Nomen,Textus,URN
estlocus4,Oceano,"Dignum erit Oceano . Ite , citos mihi ducite currus ,",bunic02.croala1761880.croala-lat2w:body.div1.l179.w3
estlocus4,Oceanoque,"Oceanoque fuga pulsae maria alta petebant ,",bunic02.croala1761880.croala-lat2w:body.div2.l23.w1
estlocus4,Oceanum,Oceanum terras magnis discumbere mensis,bunic02.croala1761880.croala-lat2w:body.div1.l274.w1
estlocus4,Oceanum,"Oceanum mentemque Iouis cum coniuge saeua ,",bunic02.croala1761880.croala-lat2w:body.div1.l280.w1
estlocus4,Oceanus,Oceanus magnoque tubae clangore uocabant,bunic02.croala1761880.croala-lat2w:body.div1.l188.w1
estlocus0,Oceanus,Oceanus Scythico balaenis aequore iunctis,bunic02.croala1761880.croala-lat2w:body.div2.l6.w1
estlocus0,Oceanus,"Tum pater Oceanus casum miseratus iniquumacerbum ,",bunic02.croala1761880.croala-lat2w:body.div2.l41.w3
estlocus0,Oeagro,"Edidit Oeagro conceptum flumine , cymba",bunic02.croala1761880.croala-lat2w:body.div2.l89.w2
estlocus1,Oechalicas,"Victor , et Oechalicas euertit funditus arces .",bunic02.croala1761880.croala-lat2w:body.div1.l6.w3
estlocus1,Oethei,"Colchon , et Oethei ducebat Phasydos undas ,",bunic02.croala1761880.croala-lat2w:body.div1.l116.w3
estlocus1,Olympi,"Exortusque petunt alii bipatentis Olympi ,",bunic02.croala1761880.croala-lat2w:body.div1.l314.w5
estlocus1,Olympi,"Quis deus haec superi praedicere posset Olympi ,",bunic02.croala1761880.croala-lat2w:body.div2.l271.w7
estlocus1,Olympi,""" Principio architenens excelsi rector Olympi ,",bunic02.croala1761880.croala-lat2w:body.div3.l1.w5
estlocus1,Olympi,"Sustollam super astra deoque aequabor Olympi . """,bunic02.croala1761880.croala-lat2w:body.div3.l104.w6
estlocus1,Olympi,Prodiit et uenit dii sub lumen Olympi .,bunic02.croala1761880.croala-lat2w:body.div3.l155.w7
estlocus1,Olympi,"Vos quoque uocales magni Syrenes Olympi ,",bunic02.croala1761880.croala-lat2w:body.div3.l228.w6
estlocus1,Olympo,"Tu uotis fruerefruerere tuis , foret alter Olympo",bunic02.croala1761880.croala-lat2w:body.div2.l61.w6
estlocus1,Olympo,Ignaros homines a summo auertit Olympo,bunic02.croala1761880.croala-lat2w:body.div3.l19.w6
estlocus1,Olympo,"Aetherii , diuos summo formauit Olympo .",bunic02.croala1761880.croala-lat2w:body.div3.l86.w5
estlocus1,Olympo,"Et summi mens alta dei , quo maior Olympo",bunic02.croala1761880.croala-lat2w:body.div3.l92.w8
estlocus1,Olympum,Fert quaeque aetherium subter nascuntur Olympum !,bunic02.croala1761880.croala-lat2w:body.div2.l249.w6
estlocus1,Olympum,"Scandit ad aetherium tecum sublimis Olympum . """,bunic02.croala1761880.croala-lat2w:body.div2.l290.w6
estlocus1,Olympus,"Quantus Olympus , Athos quantus , uel nubifer Atlas",bunic02.croala1761880.croala-lat2w:body.div3.l194.w2
estlocus4,Orbe,"Orbe trahens , causa et tantae uenit ecce procellae :",bunic02.croala1761880.croala-lat2w:body.div2.l21.w1
estlocus4,Orbes,Orbes quem decimum uocant Leonem .,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l9.app.rdg2.w1
estlocus1,Orcadas,Orcadas et magnos rapiat fuga in aequora montes .,bunic02.croala1761880.croala-lat2w:body.div2.l27.w1
estlocus0,Orci,"Quamuis inferni trita est uia , uos tamen Orci",bunic02.croala1761880.croala-lat2w:body.div1.l28.w8
estlocus4,Orci,Et Stygias seruare domos dedit arbiter Orci .,bunic02.croala1761880.croala-lat2w:body.div2.l186.w7
estlocus4,Orci,Sed neque Cocyti nox importuna nec Orci,bunic02.croala1761880.croala-lat2w:body.div2.l257.w7
estlocus4,Orci,Faucibus e mediis mediisque ex ignibus Orci,bunic02.croala1761880.croala-lat2w:body.div3.l142.w7
estlocus4,Orci,Coniugis Admeti furuis e sedibus Orci,bunic02.croala1761880.croala-lat2w:body.div3.l344.w6
estlocus0,Orco,Cernit ibi plures tristi quos miserat Orco :,bunic02.croala1761880.croala-lat2w:body.div1.l75.w7
estlocus4,Orco,Laurifer Eurotas et nigro excussus ab Orco,bunic02.croala1761880.croala-lat2w:body.div1.l226.w7
estlocus4,Orco,Scilicet in terris meruit . Non protinus Orco,bunic02.croala1761880.croala-lat2w:body.div3.l173.w7
estlocus4,Orco,"Mature ut talis discedat pestis ab Orco ! """,bunic02.croala1761880.croala-lat2w:body.div3.l258.w7
estlocus4,Orcum,Orcum,bunic02.croala1761880.croala-lat2w:body.div1.l287.app.rdg2.w
estlocus4,Orcum,"Alter monstrat iter , caligantem alter ad Orcum .",bunic02.croala1761880.croala-lat2w:body.div3.l13.w7
estlocus4,Orcum,Ductor erat ? Quo tanta lues inuaserit Orcum,bunic02.croala1761880.croala-lat2w:body.div3.l69.w7
estlocus4,Orcum,Vertitur acta manu dextra ceu fulmen et Orcum,bunic02.croala1761880.croala-lat2w:body.div3.l247.w8
estlocus4,Orcus,Spiritus ater olens uasto et fremit Orcus hiatu .,bunic02.croala1761880.croala-lat2w:body.div1.l24.w7
estlocus4,Orcus,Diuulsam membris animam insaturabilis Orcus,bunic02.croala1761880.croala-lat2w:body.div2.l43.w5
estlocus4,Orcus,Iamque nouem uenit quo cingitur orbibus Orcus,bunic02.croala1761880.croala-lat2w:body.div2.l263.w7
estlocus4,Orcus,"Cingitur Orcus inops , quid claudit machina tanta ? """,bunic02.croala1761880.croala-lat2w:body.div2.l303.w2
estlocus4,Orcus,"Quos rabies aeterna tenet , quos Orcus et aer",bunic02.croala1761880.croala-lat2w:body.div3.l113.w6
estlocus4,Orcus,Amphitryoniadae pro munere tradidit Orcus .,bunic02.croala1761880.croala-lat2w:body.div3.l271.w5
estlocus0,Orgia,"Orgia quom celebrant euantes tygribus "" Euan ! """,bunic02.croala1761880.croala-lat2w:body.div1.l214.w1
estlocus0,Orithya,"Cymothoe,Cymodoceque,CymothoequeLegaeaqueSpio et flaua Orithya ,",bunic02.croala1761880.croala-lat2w:body.div1.l167.w3
estlocus0,Orphea,"Orphea nam memini , quem candida Calliopea",bunic02.croala1761880.croala-lat2w:body.div2.l88.w1
estlocus0,Orpheo,"Restituit manes abreptae coniugis Orpheo ,",bunic02.croala1761880.croala-lat2w:body.div2.l106.w5
estlocus0,Orpheus,Impatiens ! Quoties fallax mihi dixerat Orpheus,bunic02.croala1761880.croala-lat2w:body.div1.l93.w6
estlocus0,Orpheus,"Alcide , neque te frater neque Thracius Orpheus",bunic02.croala1761880.croala-lat2w:body.div1.l109.w7
estlocus0,Orpheus,"Talia dum cantu celebrat Rhodopeius Orpheus ,",bunic02.croala1761880.croala-lat2w:body.div2.l100.w6
estlocus0,Orpheus,"Orpheus et superas remeauit uictor ad auras . """,bunic02.croala1761880.croala-lat2w:body.div2.l107.w1
estlocus0,Orthrya,Orthrya dicebat diuino carmina cantu,bunic02.croala1761880.croala-lat2w:body.div3.l313.w1
estlocus1,Ossa,Fulmine et excussa lapsos obtriuimus Ossa .,bunic02.croala1761880.croala-lat2w:body.div2.l234.w6
estlocus1,Pachinni,"Quantaque Caucasei dorsi iuga , quanta Pachinni",bunic02.croala1761880.croala-lat2w:body.div3.l196.w6
estlocus0,Pallada,"Musas , Pallada Liberumque patrem ,",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l4.w2
estlocus0,Palladis,Alcides multa pollens ui et Palladis arte,bunic02.croala1761880.croala-lat2w:body.div3.l238.w6
estlocus0,Pallas,"Quae Tethym et Neptunum et te , Tritonia Pallas ,",bunic02.croala1761880.croala-lat2w:body.div1.l281.w8
estlocus0,Pallor,"Pallor iit , nox orta oculis , labefactaque terram",bunic02.croala1761880.croala-lat2w:body.div1.l132.w1
estlocus0,Pallor,"Luctus et algificus Pallor , Dolor improbus ipsam",bunic02.croala1761880.croala-lat2w:body.div2.l255.w4
estlocus1,Paphiam,"Diuas , quae Paphiam deam colentem",bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l1.w3
estlocus0,Parcae,"Cuncta , ratis Parcae quae uoluunt stamina fusis ,",bunic02.croala1761880.croala-lat2w:body.div3.l287.w3
estlocus0,Parcas,"Funera , crudeles Parcas matrumque hymenaeos . """,bunic02.croala1761880.croala-lat2w:body.div2.l330.w3
estlocus1,Parrhasius,"Parrhasius serpens , ignisque erructateructat ad auras",bunic02.croala1761880.croala-lat2w:body.div1.l38.w1
estlocus0,Pastorumque,Pastorumque greges per pascua laeta uagantur .,bunic02.croala1761880.croala-lat2w:body.div1.l243.w1
estlocus1,Patarea,Flammiferae seu templa colis Patarea Chimaerae .,bunic02.croala1761880.croala-lat2w:body.div1.l13.w5
estlocus0,Pelectronios,Atque Pelectronios laphitaslapitasLapithas Rhetumque Pholumque,bunic02.croala1761880.croala-lat2w:body.div1.l77.w2
estlocus1,Pergama,Perfida Carthago deuictaque Pergama flammis,bunic02.croala1761880.croala-lat2w:body.div1.l18.w4
estlocus1,Pergameis,Cuspide Pergameis perfodit lancea campis .,bunic02.croala1761880.croala-lat2w:body.div3.l187.w2
estlocus1,Perrhebi,Qualis Apollineo Perrhebi uertice Pindi,bunic02.croala1761880.croala-lat2w:body.div3.l120.w3
estlocus0,Persephones,Sed si Persephones rutilantis uirga metalli,bunic02.croala1761880.croala-lat2w:body.div2.l85.w3
estlocus0,Persephones,Persephones . Quare infestum si comminus agmen,bunic02.croala1761880.croala-lat2w:body.div2.l215.w1
estlocus0,Persephones,""" Tristia Persephones clauduntur regna noueno",bunic02.croala1761880.croala-lat2w:body.div2.l305.w2
estlocus0,Phanetis,"Nox tulit , adfugiens ErebumOrcum , Phanetis amores ;",bunic02.croala1761880.croala-lat2w:body.div1.l287.w4
estlocus0,Pharii,Atque cruentatam Pharii Busiridis umbram .,bunic02.croala1761880.croala-lat2w:body.div1.l79.w3
estlocus1,Phasis,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",bunic02.croala1761880.croala-lat2w:body.div1.l225.w3
estlocus1,Phasydos,"Colchon , et Oethei ducebat Phasydos undas ,",bunic02.croala1761880.croala-lat2w:body.div1.l116.w5
estlocus0,Pherusa,Tresque simul iuuenes : Glaucis nitidisque Pherusa,bunic02.croala1761880.croala-lat2w:body.div1.l197.w6
estlocus0,Philippi,Philippi Beroaldi Hexasticon .,bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.head.w1
estlocus1,Phlegethonta,Phlegethonta,bunic02.croala1761880.croala-lat2w:body.div2.l53.app.rdg2.w
estlocus1,Phlegeton,"Panditis et Phlegeton quos gurgite lustrat adusto ,",bunic02.croala1761880.croala-lat2w:body.div1.l30.w3
estlocus1,Phlegeton,"Semina , quae Phlegeton dias produxit in oras ,",bunic02.croala1761880.croala-lat2w:body.div2.l98.w3
estlocus1,Phlegeton,"En quae castra uomit Phlegeton , quod Tartarus agmen",bunic02.croala1761880.croala-lat2w:body.div3.l64.w5
estlocus1,Phlegeton,"Et Phlegeton et Nox , quam discolor ambit amictus :",bunic02.croala1761880.croala-lat2w:body.div3.l214.w2
estlocus1,Phlegetonta,Phlegetonta,bunic02.croala1761880.croala-lat2w:body.div2.l53.app.rdg3.w
estlocus1,Phlegetonte,Fas Phlegetonte tenet placidoque in flumine Laethes,bunic02.croala1761880.croala-lat2w:body.div1.l296.w2
estlocus1,Phlegetontis,Tum specus horrendum et fauces Phlegetontis anheli,bunic02.croala1761880.croala-lat2w:body.div3.l272.w6
estlocus1,Phlegraea,Atque tot anguipedes Phlegraea ualle Gigantas,bunic02.croala1761880.croala-lat2w:body.div2.l233.w4
estlocus0,Phlegyae,Quoi Phlegyae genus inuiso de sanguine Martis :,bunic02.croala1761880.croala-lat2w:body.div2.l304.w2
estlocus1,Phlegyda,""" O Phlegyda "" , Alcides inquit , "" quid tanta gerat uis ? """,bunic02.croala1761880.croala-lat2w:body.div3.l66.w2
estlocus0,Phocarumque,Phocarumque greges magnarum et monstra rotarum,bunic02.croala1761880.croala-lat2w:body.div2.l17.w1
estlocus0,Phoebe,"Numine , Phoebe , potens uario , siue aurea princeps",bunic02.croala1761880.croala-lat2w:body.div1.l8.w2
estlocus0,Phoebe,"Mille deos secum rapuit , ceu lucida Phoebe",bunic02.croala1761880.croala-lat2w:body.div3.l107.w7
estlocus0,Phoebeis,Ecce coronati Phoebeis frondibus adsunt,bunic02.croala1761880.croala-lat2w:body.div3.l332.w3
estlocus0,Phoebi,Quin etiam Phoebi tripodes inimica canebant,bunic02.croala1761880.croala-lat2w:body.div1.l104.w3
estlocus0,Phoebi,"Obtestor Phoebi et Dircaei Amphionis urbem ,",bunic02.croala1761880.croala-lat2w:body.div2.l47.w2
estlocus0,Phoebi,Sed lyra iam reticet lassi Cyllenia Phoebi .,bunic02.croala1761880.croala-lat2w:body.div3.l347.w7
estlocus0,Phoebo,"Tela trisulca Ioui , Neptuno fuscina , Phoebo",bunic02.croala1761880.croala-lat2w:body.div2.l119.w6
estlocus0,Pholumque,Atque Pelectronios laphitaslapitasLapithas Rhetumque Pholumque,bunic02.croala1761880.croala-lat2w:body.div1.l77.w4
estlocus0,Phorcidos,Exequar ? Harpyiaeque et Phorcidos umbra Medusae,bunic02.croala1761880.croala-lat2w:body.div1.l41.w4
estlocus1,Phrygia,""" Foelix Troianus Phrygia uenator ab Ida """,bunic02.croala1761880.croala-lat2w:body.div1.l259.w3
estlocus1,Phrygiis,"Foelix ille puer Phrygiis in montibus Atys ,",bunic02.croala1761880.croala-lat2w:body.div1.l262.w4
estlocus1,Phrygiusque,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",bunic02.croala1761880.croala-lat2w:body.div1.l225.w4
estlocus0,Pierides,"Soluite , Pierides , choreas et claudite fontes",bunic02.croala1761880.croala-lat2w:body.div3.l348.w2
estlocus0,Pieridum,Pieridum te turba choro ludente coronat,bunic02.croala1761880.croala-lat2w:body.div1.l10.w1
estlocus4,Pimplea,Diua mihi Pimplea refer ! - - - Dux agmine Pluto,bunic02.croala1761880.croala-lat2w:body.div3.l70.w3
estlocus1,Pindi,Qualis Apollineo Perrhebi uertice Pindi,bunic02.croala1761880.croala-lat2w:body.div3.l120.w5
estlocus0,Pirithoi,Hic quoque Pirithoi sese obuia protulit umbra .,bunic02.croala1761880.croala-lat2w:body.div2.l267.w3
estlocus0,Plurima,Plurima sint passim uiuis magalia saxis,bunic02.croala1761880.croala-lat2w:body.div1.l245.w1
estlocus0,Plurima,Plurima laetanti testatus gaudia uultu .,bunic02.croala1761880.croala-lat2w:body.div1.l301.w1
estlocus0,Pluto,Victus et infernus blanda dulcedine Pluto,bunic02.croala1761880.croala-lat2w:body.div2.l105.w6
estlocus0,Pluto,Pluto tenet gestatque suam Diana pharetram ?,bunic02.croala1761880.croala-lat2w:body.div2.l122.w1
estlocus0,Pluto,Pluto gerat uetitisque petat procursibus Aetnam .,bunic02.croala1761880.croala-lat2w:body.div2.l200.w1
estlocus0,Pluto,Diua mihi Pimplea refer ! - - - Dux agmine Pluto,bunic02.croala1761880.croala-lat2w:body.div3.l70.w7
estlocus0,Pluto,"Respondit Pluto : "" Magni uis Herculis ingens",bunic02.croala1761880.croala-lat2w:body.div3.l254.w2
estlocus0,Plutonis,Transulcare rati magnam Plutonis ad arcem .,bunic02.croala1761880.croala-lat2w:body.div2.l116.w4
estlocus0,Plutonis,"Plutonis domus et summi Iouis alta potestas ,",bunic02.croala1761880.croala-lat2w:body.div3.l42.w1
estlocus0,Polyphaemi,Sidat et in uastum Polyphaemi Cyclopis antrum,bunic02.croala1761880.croala-lat2w:body.div3.l263.w5
estlocus0,Polyphaemus,Obuius at Cyclops trunco Polyphaemus obusto,bunic02.croala1761880.croala-lat2w:body.div3.l266.w5
estlocus0,Proserpina,Quisque deus sua signa gerit . - - - Proserpina quondam,bunic02.croala1761880.croala-lat2w:body.div2.l123.w6
estlocus0,Protheus,Inter quas Protheus cythara recinebat eburna,bunic02.croala1761880.croala-lat2w:body.div1.l171.w3
estlocus0,Protoque,Protoque Meliteque TaliaqueThaliaque DotoqueDoto Ieraque,bunic02.croala1761880.croala-lat2w:body.div1.l164.w1
estlocus0,Puniceo,Puniceo ille Satan surgebat Lucifer ortu .,bunic02.croala1761880.croala-lat2w:body.div3.l89.w1
estlocus4,Pylium,Praeterea Pylium nec adhuc aboleuerat ulcus,bunic02.croala1761880.croala-lat2w:body.div3.l156.w2
estlocus0,RACVSAEI,IACOBI BONI RACVSAEI SVB FIGVRA HERCVLIS CHRISTI PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER PRIMVS : AGLAIA,bunic02.croala1761880.croala-lat2w:body.div1.head.w3
estlocus0,RACVSAEI,IACOBI BONI RACVSAEI CHRISTI SVB FIGVRA HERCVLIS PRAELVDIVM LEONI X PONT. MAX. DICATVM LIBER SECVNDVS : THALIA,bunic02.croala1761880.croala-lat2w:body.div2.head.w3
estlocus0,RACVSAEI,IACOBI BONI RACVSAEI CHRISTI SVB FIGVRA HERCVLIS PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER TERTIVS : EVPHROSYNA,bunic02.croala1761880.croala-lat2w:body.div3.head.w3
estlocus0,RACVSAEORVM,IACOBVS BONVS RACVSAEORVM ORATOR AD LEONEM DECIMVM PONT. MAX.,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg2.w3
estlocus0,Ragusino,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w12
estlocus0,Rhadamantus,"Aeacus Europae gentes , Rhadamantus Eoas",bunic02.croala1761880.croala-lat2w:body.div3.l46.w4
estlocus0,Rhea,"Es mater tu , Rhea , mihi , non foemina pellex .",bunic02.croala1761880.croala-lat2w:body.div3.l167.w4
estlocus0,Rhetumque,Atque Pelectronios laphitaslapitasLapithas Rhetumque Pholumque,bunic02.croala1761880.croala-lat2w:body.div1.l77.w3
estlocus1,Rhodani,Ad Rhodani ripas sternis Nessumque latronemque,bunic02.croala1761880.croala-lat2w:body.div3.l339.w2
estlocus1,Rhodanusque,"Auratoque Tagus uultu Rhodanusque bicornis ,",bunic02.croala1761880.croala-lat2w:body.div1.l223.w4
estlocus1,Rhodopeius,"Talia dum cantu celebrat Rhodopeius Orpheus ,",bunic02.croala1761880.croala-lat2w:body.div2.l100.w5
estlocus0,Romulidum,"Quoi non Romulidum referuntur proelia , quoi non",bunic02.croala1761880.croala-lat2w:body.div1.l17.w3
estlocus0,Sabinensi,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w10
estlocus1,Sami,Nam regina Sami partu sub uentre retento,bunic02.croala1761880.croala-lat2w:body.div3.l181.w3
estlocus0,Satan,"Proximus it iuxtaque Satan , quo nulla barathro",bunic02.croala1761880.croala-lat2w:body.div3.l74.w4
estlocus0,Satan,Puniceo ille Satan surgebat Lucifer ortu .,bunic02.croala1761880.croala-lat2w:body.div3.l89.w3
estlocus0,Saturne,"Vexerunt et te gelidi , Saturne , iugales .",bunic02.croala1761880.croala-lat2w:body.div1.l291.w5
estlocus0,Saturne,""" Tu genitor , Saturne , mihi , tu , regia Iuno ,",bunic02.croala1761880.croala-lat2w:body.div3.l165.w3
estlocus0,Saturnia,"Iuppiter Alcides , Saturnia regna redirent .",bunic02.croala1761880.croala-lat2w:body.div2.l62.w3
estlocus0,Saturnius,Nestoreaeque memor fuerat Saturnius aulae ;,bunic02.croala1761880.croala-lat2w:body.div3.l157.w4
estlocus1,Scyllaque,"Scyllaque , Circaeis quoi latrant inguina monstris ,",bunic02.croala1761880.croala-lat2w:body.div1.l35.w1
estlocus1,Scythico,Oceanus Scythico balaenis aequore iunctis,bunic02.croala1761880.croala-lat2w:body.div2.l6.w2
estlocus1,Smyrneusque,Smyrneusque Meles et multo Marte notatus,bunic02.croala1761880.croala-lat2w:body.div1.l228.w1
estlocus4,Solque,Solque recedentes radiis dispescuit umbras,bunic02.croala1761880.croala-lat2w:body.div2.l3.w1
estlocus4,Solque,"Solque dator lucis , caeli cor mensque profundi ,",bunic02.croala1761880.croala-lat2w:body.div3.l227.w1
estlocus1,Spartano,"Spartano praetenta sinu , qua Ditis anhelat",bunic02.croala1761880.croala-lat2w:body.div1.l23.w1
estlocus1,Sperchios,"Sperchios , Ilerda ,",bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg1.w1
estlocus1,Sperchius,Sperchius et Arar,bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w1
estlocus0,Spio,Cymothoeque Legaeaque Spio,bunic02.croala1761880.croala-lat2w:body.div1.l167.app.rdg2.w3
estlocus0,Spioque,"Liminoriaque , Acteique , Spioque ,",bunic02.croala1761880.croala-lat2w:body.div1.l166.app.rdg1.w3
estlocus1,Strymon,"Immixti nymphis : Strymon , Sperchios,Ilerda,SperchiusetArar",bunic02.croala1761880.croala-lat2w:body.div1.l219.w3
estlocus1,Styga,Causabarque deos furto . Mihi per Styga cuncti,bunic02.croala1761880.croala-lat2w:body.div1.l97.w6
estlocus1,Stygia,Scilicet ignaui Stygia torpebimus aula,bunic02.croala1761880.croala-lat2w:body.div2.l240.w3
estlocus1,Stygiae,Iamque propinquabat Stygiae qua portitor undae,bunic02.croala1761880.croala-lat2w:body.div1.l62.w3
estlocus1,Stygiae,Proripit Alcides Stygiae se ad stagna paludis .,bunic02.croala1761880.croala-lat2w:body.div2.l71.w3
estlocus1,Stygiae,Thaesea quom Stygiae uinctum duxere cateruae ;,bunic02.croala1761880.croala-lat2w:body.div2.l281.w3
estlocus1,Stygiae,Et Stygiae dant signa canes . Quis nube cruenta,bunic02.croala1761880.croala-lat2w:body.div3.l68.w2
estlocus1,Stygiamque,Iussit adire domos Erebi Stygiamque paludem,bunic02.croala1761880.croala-lat2w:body.div2.l115.w5
estlocus1,Stygias,"Euentus quibus , heu , Stygias detrusus ad undas",bunic02.croala1761880.croala-lat2w:body.div1.l143.w4
estlocus1,Stygias,"Heu , nimium infoelix - - - Stygias inhumatus arenas",bunic02.croala1761880.croala-lat2w:body.div1.l266.w4
estlocus1,Stygias,Quo Stygias prostratus aquas custodit et alta,bunic02.croala1761880.croala-lat2w:body.div2.l149.w2
estlocus1,Stygias,Et Stygias seruare domos dedit arbiter Orci .,bunic02.croala1761880.croala-lat2w:body.div2.l186.w2
estlocus1,Stygias,Triplex ergo caput Stygias auersus ad umbras,bunic02.croala1761880.croala-lat2w:body.div3.l279.w4
estlocus1,Stygii,Quum Iouis ante thronum Stygii collabitur atque,bunic02.croala1761880.croala-lat2w:body.div2.l176.w5
estlocus1,Stygii,"Inflauit , Stygii quo protinus ardua regni",bunic02.croala1761880.croala-lat2w:body.div2.l191.w2
estlocus1,Stygii,Postquam autem Stygii tempestas atra tyranni,bunic02.croala1761880.croala-lat2w:body.div3.l115.w3
estlocus1,Stygii,Tunc ambage noua Stygii timor iraque mentem,bunic02.croala1761880.croala-lat2w:body.div3.l145.w4
estlocus1,Stygiique,Inuasit Stygiique ferox sacraria regni,bunic02.croala1761880.croala-lat2w:body.div1.l26.w2
estlocus1,Stygiis,Deuorat ; haec Stygiis centum damnata per annos,bunic02.croala1761880.croala-lat2w:body.div2.l44.w3
estlocus1,Stygios,Tramitibus uariis Stygios merguntur in ignes .,bunic02.croala1761880.croala-lat2w:body.div3.l38.w3
estlocus1,Stygium,Inferna Stygium de regione canem .,bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.l2.w2
estlocus1,Stymphalidas,"Aeripedem ceruam , taurum , Stymphalidas , hortos",bunic02.croala1761880.croala-lat2w:body.div3.l336.w4
estlocus1,Styx,"Styx tacet atra palus , mutescunt triste sonantis",bunic02.croala1761880.croala-lat2w:body.div3.l203.w1
estlocus0,Syrenes,"Vos quoque uocales magni Syrenes Olympi ,",bunic02.croala1761880.croala-lat2w:body.div3.l228.w5
estlocus1,Syrtica,Ac uelut Assyrios saltus aut Syrtica linquens,bunic02.croala1761880.croala-lat2w:body.div3.l259.w6
estlocus1,Taenara,"Taenara et Aetnaeis torrens Vulcanus ab antris ,",bunic02.croala1761880.croala-lat2w:body.div3.l129.w1
estlocus1,Taenarias,Taenarias fauces et debellata profundi,bunic02.croala1761880.croala-lat2w:body.div1.l1.w1
estlocus1,Tagus,"Auratoque Tagus uultu Rhodanusque bicornis ,",bunic02.croala1761880.croala-lat2w:body.div1.l223.w2
estlocus1,Tarento,Hic Ephyrea ratis Calabro resoluta Tarento,bunic02.croala1761880.croala-lat2w:body.div3.l308.w6
estlocus1,Tartara,"Qua regit Elysium , qua Tartara quaque subimouoraci",bunic02.croala1761880.croala-lat2w:body.div1.l295.w5
estlocus1,Tartara,Quod statuit ferri ipsa sibi sub Tartara munus,bunic02.croala1761880.croala-lat2w:body.div2.l124.w7
estlocus1,Tartareae,Et uos Tartareae secreta silentia noctis,bunic02.croala1761880.croala-lat2w:body.div1.l31.w3
estlocus1,Tartareas,Tartareas audere et contra daemonas omnes .,bunic02.croala1761880.croala-lat2w:body.div3.l144.w1
estlocus1,Tartarei,Tartarei : hanc longo suspendit porticus arcu,bunic02.croala1761880.croala-lat2w:body.div2.l141.w1
estlocus1,Tartareis,Eripe Tartareis miserandum Thaesea uinclis !,bunic02.croala1761880.croala-lat2w:body.div2.l286.w2
estlocus1,Tartareis,Tempora Tartareis ardentque in uertice cristae .,bunic02.croala1761880.croala-lat2w:body.div3.l73.w2
estlocus1,Tartareum,Tantane Tartareum tenet inclaementia regem ?,bunic02.croala1761880.croala-lat2w:body.div2.l334.w2
estlocus1,Tartarus,"En quae castra uomit Phlegeton , quod Tartarus agmen",bunic02.croala1761880.croala-lat2w:body.div3.l64.w7
estlocus1,Tartarus,Tartarus et tonitru longe domus alta remugit .,bunic02.croala1761880.croala-lat2w:body.div3.l237.w1
estlocus0,Taurum,Taurum linquat humi saeuumque assurgat in hostem ;,bunic02.croala1761880.croala-lat2w:body.div3.l268.w1
estlocus1,Taygetis,Taygetis si quando iugis descendit amantes,bunic02.croala1761880.croala-lat2w:body.div1.l215.w1
estlocus1,Tegeaeus,"Nec Tegeaeus Aper , nec quos puer enecat angues",bunic02.croala1761880.croala-lat2w:body.div3.l170.w2
estlocus0,Tethym,"Quae Tethym et Neptunum et te , Tritonia Pallas ,",bunic02.croala1761880.croala-lat2w:body.div1.l281.w2
estlocus0,Thaesea,Thaesea quom Stygiae uinctum duxere cateruae ;,bunic02.croala1761880.croala-lat2w:body.div2.l281.w1
estlocus0,Thaesea,Eripe Tartareis miserandum Thaesea uinclis !,bunic02.croala1761880.croala-lat2w:body.div2.l286.w4
estlocus0,Thaesea,Cornipedes adiunxit equos . Pete Thaesea mecum,bunic02.croala1761880.croala-lat2w:body.div3.l53.w5
estlocus0,Thaesea,Immo hoc praecipio uobis : date Thaesea magnum,bunic02.croala1761880.croala-lat2w:body.div3.l256.w6
estlocus0,Thaesea,Obiicit atque alium taurum . Sic Thaesea forti,bunic02.croala1761880.croala-lat2w:body.div3.l270.w6
estlocus0,Thaesei,"Nimbigenas domuit , uirtus subit aemula Thaesei ,",bunic02.croala1761880.croala-lat2w:body.div2.l293.w6
estlocus0,Thaliaque,Thaliaque,bunic02.croala1761880.croala-lat2w:body.div1.l164.app1.rdg2.w
estlocus0,Thermodontiaca,Thermodontiaca quocum pro coniuge bellum,bunic02.croala1761880.croala-lat2w:body.div2.l294.w1
estlocus0,Thesei,"Ostendas igitur , squallent quo languida Thesei",bunic02.croala1761880.croala-lat2w:body.div2.l300.w6
