estLocus,Nomen,Textus,URN
estlocus0,Apollo,"En quoque me falso frater delusit Apollo ! """,bunic02.croala1761880.croala-lat2w:body.div1.l106.w7
estlocus0,Apseudisque,"Apseudisque Ianiraque et hispida corpore Meni ,",bunic02.croala1761880.croala-lat2w:body.div1.l195.w1
estlocus0,Aquilo,Quum Notus aut Aquilo Neptunia concutit arua .,bunic02.croala1761880.croala-lat2w:body.div2.l32.w4
estlocus0,Aquilone,Ipse egomet sedesque meas Aquilone subacto,bunic02.croala1761880.croala-lat2w:body.div3.l103.w5
estlocus1,Arar,Sperchius et Arar,bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w3
estlocus0,Arcada,Sarcophagi : uolucrem mihi Iuppiter Arcada caelo,bunic02.croala1761880.croala-lat2w:body.div2.l66.w5
estlocus0,Arcas,"Et celer annexis uenerataderat talaribus Arcas ,",bunic02.croala1761880.croala-lat2w:body.div1.l292.w5
estlocus0,Arcas,"Elicit hinc manes , hic suffocatsuprimit impius Arcas .",bunic02.croala1761880.croala-lat2w:body.div1.l297.w6
estlocus0,Arethusa,"Candida siccabat madidos Arethusa capillos ,",bunic02.croala1761880.croala-lat2w:body.div1.l124.w4
estlocus0,Argo,Quem non heroum demens quos uexerat Argo,bunic02.croala1761880.croala-lat2w:body.div1.l91.w7
estlocus0,Argoa,Hellespontiacos portus Argoa carina,bunic02.croala1761880.croala-lat2w:body.div1.l113.w3
estlocus0,Argolicis,Argolicis et si qua prior uulgauerit aetas ?,bunic02.croala1761880.croala-lat2w:body.div1.l19.w1
estlocus0,Arion,Qua Methymnaeus donaria liquit Arion :,bunic02.croala1761880.croala-lat2w:body.div3.l307.w5
estlocus0,Ariona,Stabat et incolumem mirantur Ariona nautae,bunic02.croala1761880.croala-lat2w:body.div3.l329.w5
estlocus0,Arionius,Altaque Arionius scindebat caerula delphin,bunic02.croala1761880.croala-lat2w:body.div1.l208.w2
estlocus0,Aristaeis,Aristaeis,bunic02.croala1761880.croala-lat2w:body.div1.l72.app.rdg3.w
estlocus1,Asiam,"Iudicat atque Asiam magnam , peccataque Minos",bunic02.croala1761880.croala-lat2w:body.div3.l47.w3
estlocus0,Assacheus,"Implicat , Assacheus ueluti draco sanguine Maurum",bunic02.croala1761880.croala-lat2w:body.div2.l180.w2
estlocus1,Assyrios,Ac uelut Assyrios saltus aut Syrtica linquens,bunic02.croala1761880.croala-lat2w:body.div3.l259.w3
estlocus0,Astra,"Astra tenes , seu bella geris , seu candida circum",bunic02.croala1761880.croala-lat2w:body.div1.l9.w1
estlocus1,Athos,"Quantus Olympus , Athos quantus , uel nubifer Atlas",bunic02.croala1761880.croala-lat2w:body.div3.l194.w3
estlocus4,Atlas,"Quantus Olympus , Athos quantus , uel nubifer Atlas",bunic02.croala1761880.croala-lat2w:body.div3.l194.w7
estlocus4,Atlas,"Atlas obstupuit , te tela trisulca ferentem",bunic02.croala1761880.croala-lat2w:body.div3.l342.w1
estlocus0,Atrius,Atrius,bunic02.croala1761880.croala-lat2w:body.div1.l68.app.rdg1.w
estlocus0,Atys,"Foelix ille puer Phrygiis in montibus Atys ,",bunic02.croala1761880.croala-lat2w:body.div1.l262.w7
estlocus1,Auentinum,"Acer Auentinum , tu templa Lacinia condis .",bunic02.croala1761880.croala-lat2w:body.div3.l340.w2
estlocus1,Auerni,Principio ad fauces tetri stabulantur Auerni,bunic02.croala1761880.croala-lat2w:body.div1.l33.w6
estlocus1,Auerni,Nunc igitur ne fama prior neu clarus Auerni,bunic02.croala1761880.croala-lat2w:body.div2.l245.w8
estlocus1,Auerni,Et sonitu tetri domus atra resultat Auerni .,bunic02.croala1761880.croala-lat2w:body.div3.l244.w7
estlocus1,Auerni,"Victor adit spoliis et munere laetus Auerni ,",bunic02.croala1761880.croala-lat2w:body.div3.l273.w7
estlocus1,Auernum,"Subiecit uictrixque ferum spoliauit Auernum ,",bunic02.croala1761880.croala-lat2w:body.div3.l289.w5
estlocus1,Auernus,"Iam pridem cupio , nec me crassator Auernus",bunic02.croala1761880.croala-lat2w:body.div2.l298.w7
estlocus0,Aurora,"Te croceis , Titone , toris Aurora reliquit",bunic02.croala1761880.croala-lat2w:body.div2.l2.w5
estlocus0,Bacchae,"Miscerique simul , ueluti trieterica Bacchae",bunic02.croala1761880.croala-lat2w:body.div1.l213.w5
estlocus0,Balaenae,Balaenae saeuis infestabantur ab orcis,bunic02.croala1761880.croala-lat2w:body.div2.l22.w1
estlocus0,Beaemoth,Bellial effrenusque ruunt et bellua Beaemoth .,bunic02.croala1761880.croala-lat2w:body.div3.l83.w6
estlocus0,Bellerophonteos,Bellerophonteos : uestris sat lusimus antris !,bunic02.croala1761880.croala-lat2w:body.div3.l349.w1
estlocus0,Belli,Belli feruor adhuc mutilat . Stat fertilis orbis,bunic02.croala1761880.croala-lat2w:body.div2.l317.w1
estlocus0,Bellial,Bellial effrenusque ruunt et bellua Beaemoth .,bunic02.croala1761880.croala-lat2w:body.div3.l83.w1
estlocus0,Bellides,Bellides implerunt Acheronque obmutuit undis .,bunic02.croala1761880.croala-lat2w:body.div2.l104.w1
estlocus0,Bellona,Postibus aduersis stimulo Bellona cruento,bunic02.croala1761880.croala-lat2w:body.div1.l53.w4
estlocus0,Bellona,Fulgurat et subito stimulat Bellona tumultu,bunic02.croala1761880.croala-lat2w:body.div2.l196.w5
estlocus4,Berecynthia,Alma quibus uehitur diuum Berecynthia mater .,bunic02.croala1761880.croala-lat2w:body.div1.l289.w5
estlocus0,Beroaldi,Philippi Beroaldi Hexasticon .,bunic02.croala1761880.croala-lat2w:back.app.rdg1.div.head.w2
estlocus0,Bistonio,"Te quoque Bistonio qui quadrupedante superbis ,",bunic02.croala1761880.croala-lat2w:body.div3.l185.w3
estlocus0,Boreas,"Horrificans Boreas gelidae sub uirginis ortu ,",bunic02.croala1761880.croala-lat2w:body.div1.l310.w2
estlocus0,Bromii,"Et picti Bromii lynces et plaustra leonum ,",bunic02.croala1761880.croala-lat2w:body.div1.l288.w3
estlocus0,Busiridis,Atque cruentatam Pharii Busiridis umbram .,bunic02.croala1761880.croala-lat2w:body.div1.l79.w4
estlocus0,CHRISTI,IACOBI BONI RACVSAEI SVB FIGVRA HERCVLIS CHRISTI PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER PRIMVS : AGLAIA,bunic02.croala1761880.croala-lat2w:body.div1.head.w7
estlocus0,CHRISTI,IACOBI BONI RACVSAEI CHRISTI SVB FIGVRA HERCVLIS PRAELVDIVM LEONI X PONT. MAX. DICATVM LIBER SECVNDVS : THALIA,bunic02.croala1761880.croala-lat2w:body.div2.head.w4
estlocus0,CHRISTI,IACOBI BONI RACVSAEI CHRISTI SVB FIGVRA HERCVLIS PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER TERTIVS : EVPHROSYNA,bunic02.croala1761880.croala-lat2w:body.div3.head.w4
estlocus1,Calabro,Hic Ephyrea ratis Calabro resoluta Tarento,bunic02.croala1761880.croala-lat2w:body.div3.l308.w4
estlocus0,Calliopea,"Orphea nam memini , quem candida Calliopea",bunic02.croala1761880.croala-lat2w:body.div2.l88.w6
estlocus1,Calpen,"Limina , in Hispanam Calpen qua surgit Abyla",bunic02.croala1761880.croala-lat2w:body.div1.l157.w4
estlocus0,Cancer,Qua tuus aurato pandebat limine Cancer,bunic02.croala1761880.croala-lat2w:body.div1.l315.w6
estlocus1,Cantabria,"Pectora turbabat , ueluti Cantabria cautes",bunic02.croala1761880.croala-lat2w:body.div2.l202.w4
estlocus1,Carthago,Perfida Carthago deuictaque Pergama flammis,bunic02.croala1761880.croala-lat2w:body.div1.l18.w2
estlocus0,Castorides,"Castorides , uox illa fuit praenuntia laeti .",bunic02.croala1761880.croala-lat2w:body.div2.l10.w1
estlocus1,Caucasei,"Quantaque Caucasei dorsi iuga , quanta Pachinni",bunic02.croala1761880.croala-lat2w:body.div3.l196.w2
estlocus1,Caycus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",bunic02.croala1761880.croala-lat2w:body.div1.l225.w5
estlocus0,Centauri,"Centauri , gens mixta feris partusque biformes ,",bunic02.croala1761880.croala-lat2w:body.div1.l34.w1
estlocus0,Centaurica,Agmina praecipue Centaurica nubigenarum,bunic02.croala1761880.croala-lat2w:body.div1.l76.w3
estlocus0,Cerbereos,"Gestit , Cerbereos et nexibus implicat artus",bunic02.croala1761880.croala-lat2w:body.div3.l220.w2
estlocus0,Cerberus,Cerberus : humano depastus sanguine sternitcondit,bunic02.croala1761880.croala-lat2w:body.div2.l147.w1
estlocus0,Cerberus,Sic premitur fugiens uicinaque Cerberus horret,bunic02.croala1761880.croala-lat2w:body.div2.l172.w5
estlocus0,Cerberus,Sed non egressu facilis . Tunc Cerberus auras,bunic02.croala1761880.croala-lat2w:body.div3.l275.w6
estlocus0,Ceres,Et te flaua Ceres,bunic02.croala1761880.croala-lat2w:body.div1.l290.app.rdg1.w4
estlocus0,Ceres,"Teque , Ceres o diua ,",bunic02.croala1761880.croala-lat2w:body.div1.l290.app.rdg2.w2
estlocus1,Chaonius,Vt quum Chaonius quondam latrator euntis,bunic02.croala1761880.croala-lat2w:body.div2.l166.w3
estlocus0,Chaos,"Ferre nefas , res prima , Chaos , quae rite silendo",bunic02.croala1761880.croala-lat2w:body.div3.l209.w5
estlocus0,Charis,"Cur mea dicta Charis , cur Gratia Musa uocata est ?",bunic02.croala1761880.croala-lat2w:front.app1.rdg1.div.l1.w4
estlocus0,Charon,Quem simul atque Charon uiridi prospexit ab alueo,bunic02.croala1761880.croala-lat2w:body.div2.l72.w4
estlocus0,Chimaera,Fumantes horrenda globos terno ore Chimaera .,bunic02.croala1761880.croala-lat2w:body.div1.l39.w6
estlocus0,Chimaerae,Flammiferae seu templa colis Patarea Chimaerae .,bunic02.croala1761880.croala-lat2w:body.div1.l13.w6
estlocus0,Chlymene,"Et Chlymene , Liminoriaque,Acteique,Spioque,Limnoria,ActeiCymodoceque",bunic02.croala1761880.croala-lat2w:body.div1.l166.w2
