estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Gerionesque,"Stant prope , Gerionesque triceps procul aufugit hostem ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l42.w3,970239.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,Acherontis ad amnes,Acheron,50602.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg1.w1,970861.0,,,,,,,,,,,,,,,,,
estlocus1,Acheruntis,Acheruntis ad amnes,Acheruns,50605.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg2.w1,970878.0,,,,,,,,,,,,,,,,,
estlocus1,Acheruntis,Acheruntis ad amnem,Acheruns,50605.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg3.w1,970895.0,,,,,,,,,,,,,,,,,
estlocus1,Stygiae,Iamque propinquabat Stygiae qua portitor undae,Stygius,50706.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l62.w3,970926.0,,,,,,,,,,,,,,,,,
estlocus4,Orco,Cernit ibi plures tristi quos miserat Orco :,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l75.w7,971386.0,,,,,,,,,,,,,,,,,
estlocus1,Lapithas,Lapithas,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l77.app.rdg3.w,971453.0,,,,,,,,,,,,,,,,,
estlocus1,Styga,Causabarque deos furto . Mihi per Styga cuncti,Styx,50706.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l97.w6,972338.0,,,,,,,,,,,,,,,,,
estlocus1,Mysia,Iurabant nil scire tui . Scit Mysia quantum,Mysia,50667.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l98.w6,972375.0,,,,,,,,,,,,,,,,,
estlocus1,Thracius,"Alcide , neque te frater neque Thracius Orpheus",Thracius,50718.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l109.w6,972834.0,,,,,,,,,,,,,,,,,
estlocus1,Hellespontiacos,Hellespontiacos portus Argoa carina,Hellespontiacus,50644.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l113.w1,972954.0,,,,,,,,,,,,,,,,,
estlocus1,Colchon,"Colchon , et Oethei ducebat Phasydos undas ,",Colchis,50624.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w1,973041.0,,,,,,,,,,,,,,,,,
estlocus1,Oethei,"Colchon , et Oethei ducebat Phasydos undas ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w3,973053.0,,,,,,,,,,,,,,,,,
estlocus1,Phasydos,"Colchon , et Oethei ducebat Phasydos undas ,",Phasis,50690.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w5,973061.0,,,,,,,,,,,,,,,,,
estlocus1,Arethusa,"Candida siccabat madidos Arethusa capillos ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l124.w4,973370.0,,,,,,,,,,,,,,,,,
estlocus1,Stygias,"Euentus quibus , heu , Stygias detrusus ad undas",Stygius,50706.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l143.w4,974189.0,,,,,,,,,,,,,,,,,
estlocus1,Memphitico,Memphitico pingues e,Memphiticus,50664.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l149.app.rdg2.w1,974423.0,,,,,,,,,,,,,,,,,
estlocus1,Hispanam,"Limina , in Hispanam Calpen qua surgit Abyla",Hispanus,50645.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w3,974723.0,,,,,,,,,,,,,,,,,
estlocus1,Calpen,"Limina , in Hispanam Calpen qua surgit Abyla",Calpe,50617.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w4,974727.0,,,,,,,,,,,,,,,,,
estlocus1,Abyla,"Limina , in Hispanam Calpen qua surgit Abyla",Abyla,50600.0,NJ,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w7,974739.0,,,,,,,,,,,,,,,,,
estlocus4,Amphitoique,"Amphitoique comis in candida colla solutis ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l165.w1,975043.0,,,,,,,,,,,,,,,,,
estlocus4,Oceani,"Praecipue Oceani thalamos , ipsoque canebat",Oceanus,50677.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l173.w2,975375.0,,,,,,,,,,,,,,,,,
estlocus4,Oceano,"Dignum erit Oceano . Ite , citos mihi ducite currus ,",Oceanus,50677.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l179.w3,975589.0,,,,,,,,,,,,,,,,,
estlocus1,Delphinas,Delphinas stimulate uagos ! Cristalla ferantur,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l180.w1,975630.0,,,,,,,,,,,,,,,,,
estlocus1,Alpinis,"Alpinis extracta iugis , ac plaustra rotati rotato",Alpinus,50607.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l185.w1,975839.0,,,,,,,,,,,,,,,,,
estlocus4,Oceanus,Oceanus magnoque tubae clangore uocabant,Oceanus,50677.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l188.w1,975948.0,,,,,,,,,,,,,,,,,
estlocus1,Inda,Qualis ubi in domibus magnis auis Inda puellis,Indus,50652.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l203.w7,976459.0,,,,,,,,,,,,,,,,,
estlocus1,Taygetis,Taygetis si quando iugis descendit amantes,Taygetus,50716.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l215.w1,976887.0,,,,,,,,,,,,,,,,,
estlocus1,Lacaenis,Virginibus satyros cupiens miscere Lacaenis .,Lacaena,50654.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l216.w5,976932.0,,,,,,,,,,,,,,,,,
estlocus1,Strymon,"Immixti nymphis : Strymon , Sperchios , Ilerda , Sperchius et Arar",Strymon,50705.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.w3,977015.0,,,,,,,,,,,,,,,,,
estlocus1,Sperchios,"Sperchios , Ilerda ,",Spercheos,50704.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg1.w1,977030.0,,,,,,,,,,,,,,,,,
estlocus1,Ilerda,"Sperchios , Ilerda ,",Ilerda,50649.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg1.w2,977038.0,,,,,,,,,,,,,,,,,
estlocus1,Sperchius,Sperchius et Arar,Spercheos,50704.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w1,977051.0,,,,,,,,,,,,,,,,,
estlocus1,Arar,Sperchius et Arar,Arar,50609.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l219.app.rdg2.w3,977059.0,,,,,,,,,,,,,,,,,
estlocus1,Lycus,Dillectus que Dilectusque Lycus nymphis et fuluus Oaxis,Lycus,50660.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l220.w1,977100.0,,,,,,,,,,,,,,,,,
estlocus1,Oaxis,Dillectus que Dilectusque Lycus nymphis et fuluus Oaxis,Oaxes,50676.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l220.w5,977116.0,,,,,,,,,,,,,,,,,
estlocus1,Tybris,Et flauus Tybris cornuque Achelous adempto,Tybris,50725.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l221.w3,977133.0,,,,,,,,,,,,,,,,,
estlocus4,Achelous,Et flauus Tybris cornuque Achelous adempto,Achelous,50601.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l221.w5,977141.0,,,,,,,,,,,,,,,,,
estlocus1,Nilus,Et septemgeminus secreto Nilus ab ortu,Nilus,50674.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l222.w4,977166.0,,,,,,,,,,,,,,,,,
estlocus1,Tagus,"Auratoque Tagus uultu Rhodanusque bicornis ,",Tagus,50712.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l223.w2,977187.0,,,,,,,,,,,,,,,,,
estlocus1,Rhodanusque,"Auratoque Tagus uultu Rhodanusque bicornis ,",Rhodanus,50697.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l223.w4,977195.0,,,,,,,,,,,,,,,,,
estlocus1,Dalmaticus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Dalmaticus,50630.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w1,977263.0,,,,,,,,,,,,,,,,,
estlocus1,Naron,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Naro,50669.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w2,977267.0,,,,,,,,,,,,,,,,,
estlocus1,Phasis,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Phasis,50690.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w3,977275.0,,,,,,,,,,,,,,,,,
estlocus1,Phrygiusque,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Phrygius,50693.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w4,977279.0,,,,,,,,,,,,,,,,,
estlocus1,Caycus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Caycus,50621.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w5,977283.0,,,,,,,,,,,,,,,,,
estlocus1,Eurotas,Laurifer Eurotas et nigro excussus ab Orco,Eurotas,50638.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l226.w2,977300.0,,,,,,,,,,,,,,,,,
estlocus4,Orco,Laurifer Eurotas et nigro excussus ab Orco,Orcus,50681.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l226.w7,977320.0,,,,,,,,,,,,,,,,,
estlocus1,Eridanus,"Corniger Eridanus , Liparis , Moedusque Nyphates",Eridanus,50637.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w2,977333.0,,,,,,,,,,,,,,,,,
estlocus1,Liparis,"Corniger Eridanus , Liparis , Moedusque Nyphates",Liparis,50658.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w3,977341.0,,,,,,,,,,,,,,,,,
estlocus1,Moedusque,"Corniger Eridanus , Liparis , Moedusque Nyphates",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w4,977349.0,,,,,,,,,,,,,,,,,
estlocus1,Nyphates,"Corniger Eridanus , Liparis , Moedusque Nyphates",Niphates,50675.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l227.w5,977353.0,,,,,,,,,,,,,,,,,
estlocus1,Smyrneusque,Smyrneusque Meles et multo Marte notatus,Smyrneus,50702.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l228.w1,977362.0,,,,,,,,,,,,,,,,,
estlocus1,Meles,Smyrneusque Meles et multo Marte notatus,Meles,50663.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l228.w2,977366.0,,,,,,,,,,,,,,,,,
estlocus1,Ister,Ister et Illyrico ueniens a littore Narbon .,Ister,50653.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l229.w1,977391.0,,,,,,,,,,,,,,,,,
estlocus1,Illyrico,Ister et Illyrico ueniens a littore Narbon .,Illyricus,50650.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l229.w3,977399.0,,,,,,,,,,,,,,,,,
estlocus1,Narbon,Ister et Illyrico ueniens a littore Narbon .,Narbo,50668.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l229.w7,977415.0,,,,,,,,,,,,,,,,,
estlocus4,Amphitrite,Omnia multiparens complectitur amplectitur Amphitrite,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l238.w3,977810.0,,,,,,,,,,,,,,,,,
