CITE URN,Latin lemma,Short description,Created by,Created on
urn:cite:croala:latlexent.lex63462.1,Rhodus,Name of an island and a city on the coast of Asia Minor.,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex64462.1,Scarvisius,"Name of a river in Hungary, Sárvíz.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex67890.1,Batha,"Name of a city in Hungary, Báta.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex77221.1,Visegradum,"Name of a city in Bohemia, Vyšehrad.",http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlexent.lex89171.1,Strigonium,Name of a city in Hungary,http://orcid.org/0000-0002-9119-399X,2016-10-09+02:00
urn:cite:croala:latlextent.lext89173.1,Neapolitanus,Adjective describing belonging to the city of Neapolis.,http://orcid.org/0000-0001-5515-6545,2016-10-24
urn:cite:croala:latlextent.lext89174.1,Oechalicus,Adjective describing belonging to the city of Oechalia,http://orcid.org/0000-0001-5515-6545,2016-10-24
urn:cite:croala:latlexent.lext89175.1,Mycenaeus,Adjective describing belonging to the city of Mycenae,http://orcid.org/0000-0001-5515-6545,2016-10-24
urn:cite:croala:latlextent.lext89176.1,Thymbraeus,Adjective describing belonging to the town of Thymbra,http://orcid.org/0000-0001-5515-6545,2016-10-24
urn:cite:croala:latlexent.lext89177.1,Hellespontiacus,Adjective describing belonging to the Hellespont,http://orcid.org/0000-0001-5515-6545,2016-10-24
urn:cite:croala:latlexent.lext89178.1,Memphiticus,Adjective describing belonging to the city Memphis (Egypt),http://orcid.org/0000-0001-5515-6545,2016-10-24
urn:cite:croala:latlexent.lext89179.1,Dalmaticus,Adjective describing belonging to the region of Dalmatia,http://orcid.org/0000-0001-5515-6545,2016-10-25
urn:cite:croala:latlexent.lext89180.1,Smyrneus,Adjective describing belonging to city of Smyrna,,
urn:cite:croala:latlexent.lext89181.1,Idumaeus,Adjective describing belonging to the province Edom in Palestine.,http://orcid.org/0000-0002-2135-6343,2016-10-25
urn:cite:croala:latlexent.lext89182.1,Scythicus,Adjective describing belonging to Scythia,http://orcid.org/0000-0001-5515-6545,2016-10-25
urn:cite:croala:latlexent.lext89183.1,Bethleemicus,Adjective describing belonging to Bethlehem.,http://orcid.org/0000-0002-2135-6343,2016-10-25
urn:cite:croala:latlexent.lext89184.1,Dircaeus,"Adjective describing belonging to the region of the Dirce fountain. (Thebes, Boeotia)",http://orcid.org/0000-0001-5515-6545,2016-10-25
urn:cite:croala:latlexent.lex50001.1,Abdua,"Name of a river in Upper Italy, Addua, (Adda).",http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50002.1,Hadrianopolitanus,Adjective describing belonging to the city of Hadrianapolis. (Adrianopolitanus),http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50003.1,Adriaticus,Adjective referring to the Adriatic sea. Adriatic.,http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50004.1,Adrium,Name of a mountain on the border of Croatia and Bosnia and Herzegovina. Dinara. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50005.1,Aegyptius,Name for the inhabitant of Egypt. Egyptian.,http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50006.1,Agria,"Name of a city in Hungary. Eger, Jeger.",http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50007.1,Agrianus,Adjective describing belonging to Agria (Eger). ,http://orcid.org/0000-0003-1457-7081 ,2016-10-25
urn:cite:croala:latlexent.lex50008.1,Agriensis,Adjective describing belonging to Agria (Eger). ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50009.1,Echionius,"Adjective describing the city of Thebes as founded by the aid of Echion. Echionian, Theban.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50010.1,Bohaemus,Adjective describing belonging to Bohemia.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50011.1,Borysthenius,"Adjective describing belonging to the river Borysthenes, now the Dnieper.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50012.1,Adriacus,Adjective referring to the Adriatic Sea.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50013.1,Alba,Name of a city in northwestern Romania. Alba Iulia. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50014.1,Francia,"Name of the land of the Franks, later France.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50015.1,Assyrii,Name for the Assyrian people.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50016.1,Rhodopeius,"Adjective describing belonging to Rhodope, a mountain region in Thrace.",http://orcid.org/0000-0001-5515-6545,2016-10-26
